east_phi,west_phi,east_r,west_r
3.06296,3.41639,16.16002,16.16002
3.14150,3.49493,16.16000,16.16003
3.22004,3.57347,16.16002,16.16001
3.29858,3.65201,16.15996,16.15997
3.37712,3.73055,16.16000,16.15996
3.45566,3.80909,16.16002,16.16001
3.53420,3.88763,16.16000,16.16002
3.61274,3.96617,16.16003,16.16002
3.69128,4.04471,16.16003,16.16001
3.76982,4.12325,16.15999,16.15996
3.84836,4.20179,16.16004,16.15997
3.92690,4.28033,16.15994,16.16001
4.00544,4.35887,16.16004,16.16003
4.08398,4.43741,16.15999,16.16002
4.16252,4.51595,16.16003,16.16001
4.24106,4.59449,16.16003,16.16001
4.31960,4.67303,16.16000,16.15996
4.39814,4.75167,16.16002,16.15996
4.47668,4.83021,16.16000,16.16001
4.55522,4.90875,16.15996,16.16001
4.63376,4.98729,16.16002,16.16002
4.71230,5.06583,16.16000,16.16003
4.79094,5.14437,16.16002,16.16001
4.86948,5.22291,16.15996,16.15997
4.94802,5.30145,16.16000,16.15996
5.02656,5.37999,16.16002,16.16001
5.10510,5.45853,16.16000,16.16002
5.18364,5.53707,16.16003,16.16002
5.26218,5.61561,16.16003,16.16001
5.34072,5.69415,16.15999,16.15996
5.41926,5.77269,16.16004,16.15997
5.49780,5.85123,16.15994,16.16001
5.57634,5.92977,16.16004,16.16003
5.65488,6.00831,16.15999,16.16002
5.73342,6.08685,16.16003,16.16001
5.81196,6.16539,16.16003,16.16001
5.89050,6.24393,16.16000,16.15996
5.96904,0.03927,16.16002,16.15996
6.04758,0.11781,16.16000,16.16001
6.12612,0.19635,16.15996,16.16001
6.20466,0.27489,16.16002,16.16002
0.06193,0.06193,19.69997,19.69997
0.14460,0.14460,19.70001,19.70001
0.22728,0.22728,19.70002,19.70002
0.30995,0.30995,19.70004,19.70004
0.39263,0.39263,19.70002,19.70002
0.47530,0.47530,19.70003,19.70003
0.55797,0.55797,19.69999,19.69999
0.64065,0.64065,19.70004,19.70004
0.72332,0.72332,19.70004,19.70004
0.80599,0.80599,19.70000,19.70000
0.88867,0.88867,19.70001,19.70001
0.97134,0.97134,19.70003,19.70003
1.05401,1.05401,19.69997,19.69997
1.13669,1.13669,19.69998,19.69998
1.21936,1.21936,19.69998,19.69998
1.30203,1.30203,19.70002,19.70002
1.38471,1.38471,19.70001,19.70001
1.46738,1.46738,19.70005,19.70005
1.55005,1.55005,19.70004,19.70004
