east_phi,west_phi,east_r,west_r
1.26070,1.26070,21.30004,21.30004
1.34337,1.34337,21.29997,21.29997
1.42604,1.42604,21.29996,21.29996
1.50872,1.50872,21.30003,21.30003
-1.55020,-1.55020,21.30002,21.30002
-1.46753,-1.46753,21.29997,21.29997
-1.38485,-1.38485,21.29996,21.29996
-1.30218,-1.30218,21.30003,21.30003
-1.21951,-1.21951,21.29999,21.29999
-1.13683,-1.13683,21.29997,21.29997
-1.05416,-1.05416,21.29996,21.29996
-0.97149,-0.97149,21.30002,21.30002
-0.88881,-0.88881,21.29999,21.29999
-0.80614,-0.80614,21.30002,21.30002
-0.72347,-0.72347,21.30000,21.30000
-0.64079,-0.64079,21.29996,21.29996
-0.55812,-0.55812,21.30001,21.30001
-0.47545,-0.47545,21.30001,21.30001
-0.39277,-0.39277,21.29997,21.29997
-0.31010,-0.31010,21.30004,21.30004
-0.22743,-0.22743,21.29997,21.29997
-0.14475,-0.14475,21.29996,21.29996
-0.06208,-0.06208,21.30003,21.30003
0.05629,0.05629,22.95496,22.95496
0.12769,0.12769,22.95500,22.95500
0.19909,0.19909,22.95495,22.95495
0.27049,0.27049,22.95497,22.95497
0.34189,0.34189,22.95500,22.95500
0.41329,0.41329,22.95504,22.95504
0.48469,0.48469,22.95501,22.95501
0.55609,0.55609,22.95497,22.95497
0.62749,0.62749,22.95500,22.95500
0.69889,0.69889,22.95501,22.95501
0.77029,0.77029,22.95502,22.95502
0.84169,0.84169,22.95497,22.95497
0.91309,0.91309,22.95496,22.95496
0.98449,0.98449,22.95500,22.95500
1.05589,1.05589,22.95503,22.95503
1.12729,1.12729,22.95501,22.95501
1.19869,1.19869,22.95504,22.95504
1.27009,1.27009,22.95503,22.95503
1.34149,1.34149,22.95496,22.95496
1.41289,1.41289,22.95499,22.95499
1.48429,1.48429,22.95503,22.95503
1.55569,1.55569,22.95502,22.95502
-1.51450,-1.51450,22.95496,22.95496
-1.44310,-1.44310,22.95500,22.95500
-1.37170,-1.37170,22.95495,22.95495
-1.30030,-1.30030,22.95497,22.95497
-1.22890,-1.22890,22.95500,22.95500
-1.15750,-1.15750,22.95504,22.95504
